hora,posicio,trend,volum
00:01,1,$PARAM,5.080.000
00:01,2,SenderLabs,3.280.000
00:01,3,Madrid,2.980.000
00:01,4,$XTER,2.900.000
00:01,5,Real Madrid,1.580.000
00:01,6,Telegram,829.000
00:01,7,Google,654.000
00:01,8,Presidente,648.000
00:01,9,Champions,635.000
00:01,10,Ukraine,623.000
00:31,1,$PARAM,5.080.000
00:31,2,SenderLabs,3.280.000
00:31,3,$XTER,2.980.000
00:31,4,Madrid,2.280.000
00:31,5,Real Madrid,1.580.000
00:31,6,Telegram,829.000
00:31,7,Google,654.000
00:31,8,Presidente,648.000
00:31,9,Champions,640.000
00:31,10,Ukraine,623.000
01:01,1,$PARAM,3.780.000
01:01,2,SenderLabs,3.320.000
01:01,3,$XTER,2.980.000
01:01,4,Madrid,2.280.000
01:01,5,Real Madrid,1.120.000
01:01,6,Telegram,831.000
01:01,7,Google,657.000
01:01,8,Presidente,648.000
01:01,9,Ukraine,616.000
01:01,10,Taylor,549.000
01:31,1,$PARAM,3.780.000
01:31,2,SenderLabs,3.320.000
01:31,3,$XTER,3.059.999
01:31,4,Madrid,2.280.000
01:31,5,Real Madrid,1.120.000
01:31,6,Telegram,831.000
01:31,7,Google,657.000
01:31,8,Presidente,648.000
01:31,9,Ukraine,616.000
01:31,10,Taylor,549.000
02:01,1,$PARAM,5.260.000
02:01,2,SenderLabs,3.480.000
02:01,3,$XTER,3.080.000
02:01,4,Madrid,1.359.999
02:01,5,Telegram,831.000
02:01,6,Real Madrid,743.000
02:01,7,Google,660.000
02:01,8,Presidente,636.000
02:01,9,Ukraine,612.000
02:01,10,taylor,553.000
02:31,1,$PARAM,5.260.000
02:31,2,SenderLabs,3.480.000
02:31,3,$XTER,3.080.000
02:31,4,Madrid,1.359.999
02:31,5,Telegram,831.000
02:31,6,Real Madrid,743.000
02:31,7,Google,660.000
02:31,8,Ukraine,612.000
02:31,9,taylor,601.000
02:31,10,Taylor,547.000
03:01,1,$PARAM,5.260.000
03:01,2,senderlabs,3.480.000
03:01,3,SenderLabs,3.420.000
03:01,4,$XTER,3.099.999
03:01,5,Madrid,1.040.000
03:01,6,Telegram,834.000
03:01,7,Google,662.000
03:01,8,taylor,642.000
03:01,9,Real Madrid,631.000
03:01,10,Ukraine,610.000
03:31,1,$PARAM,5.260.000
03:31,2,senderlabs,3.480.000
03:31,3,$XTER,3.099.999
03:31,4,Madrid,1.040.000
03:31,5,Telegram,834.000
03:31,6,Google,662.000
03:31,7,taylor,652.000
03:31,8,Real Madrid,631.000
03:31,9,Ukraine,610.000
03:31,10,TENatSaintLaurentSG,501.000
04:01,1,senderlabs,3.480.000
04:01,2,$XTER,3.120.000
04:01,3,The US,1.400.000
04:01,4,Madrid,951.000
04:01,5,Telegram,837.000
04:01,6,taylor,676.000
04:01,7,Google,662.000
04:01,8,Iran,633.000
04:01,9,Ukraine,608.000
04:01,10,Real Madrid,584.000
04:31,1,senderlabs,3.480.000
04:31,2,$XTER,3.120.000
04:31,3,Israel,2.180.000
04:31,4,The US,1.400.000
04:31,5,Madrid,951.000
04:31,6,Telegram,837.000
04:31,7,Irán,705.000
04:31,8,Iran,703.000
04:31,9,taylor,680.000
04:31,10,Google,662.000
05:01,1,senderlabs,3.500.000
05:01,2,$XTER,3.120.000
05:01,3,Israel,2.360.000
05:01,4,The US,1.400.000
05:01,5,Madrid,909.000
05:01,6,Telegram,840.000
05:01,7,Iran,805.000
05:01,8,Irán,804.000
05:01,9,taylor,702.000
05:01,10,Google,662.000
05:31,1,senderlabs,3.500.000
05:31,2,SenderLabs,3.400.000
05:31,3,$XTER,3.120.000
05:31,4,Israel,2.360.000
05:31,5,The US,1.400.000
05:31,6,Madrid,909.000
05:31,7,Iran,871.000
05:31,8,Irán,850.000
05:31,9,Telegram,840.000
05:31,10,taylor,702.000
06:01,1,senderlabs,3.500.000
06:01,2,SenderLabs,3.400.000
06:01,3,$XTER,3.080.000
06:01,4,Israel,2.560.000
06:01,5,Irán,927.000
06:01,6,Iran,902.000
06:01,7,Madrid,878.000
06:01,8,Telegram,840.000
06:01,9,The US,766.000
06:01,10,taylor,741.000
06:31,1,senderlabs,3.500.000
06:31,2,SenderLabs,3.420.000
06:31,3,$XTER,3.120.000
06:31,4,Israel,2.560.000
06:31,5,Trump,2.120.000
06:31,6,Iran,949.000
06:31,7,Irán,927.000
06:31,8,Madrid,878.000
06:31,9,taylor,847.000
06:31,10,Telegram,840.000
07:01,1,SenderLabs,3.540.000
07:01,2,$XTER,3.120.000
07:01,3,Israel,2.640.000
07:01,4,Trump,2.120.000
07:01,5,Iran,988.000
07:01,6,Irán,986.000
07:01,7,taylor,920.000
07:01,8,Madrid,852.000
07:01,9,Spotify,706.000
07:01,10,América,609.000
07:31,1,SenderLabs,3.540.000
07:31,2,$XTER,3.120.000
07:31,3,Israel,2.640.000
07:31,4,Trump,2.120.000
07:31,5,taylor,1.120.000
07:31,6,Irán,1.020.000
