Date,Japan,China,South Korea,India,Taiwan,France,Spain,United Kingdom,Turkey,Italy,Netherlands,Thailand,Pakistan,Belgium,Kuwait,Singapore Republic,Indonesia,Bangladesh,Portugal,Poland,Chile,Egypt,Brazil,Mexico,Malaysia,Argentina,Greece,Germany,Lithuania,United Arab Emirates,Dominican Republic,Puerto Rico,Jordan,United States,Jamaica,Croatia,Colombia,Finland,Canada,Philippines,Panama,Malta,Sweden,Israel,Hong Kong,Norway,United States Virgin Islands,El Salvador,Russian Federation,Vietnam,Myanmar,Bahrain,Gibraltar,Australia,Senegal,Cuba,Denmark,Papua New Guinea,Unknown,Mauritania,Iceland,Estonia,Bahamas,Period End Date
2016-01-01,131514.00,280410.00,723800.00,209609.00,141180.00,0,140454.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155480.00,0,0,0,0,0,0,0,0,0,0,153246.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-01-01
2016-01-02,0,0,122137.00,159117.00,138034.00,0,0,337824.00,120593.00,0,0,0,0,138285.00,0,0,121961.00,0,0,0,0,0,155394.00,149032.00,144915.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15087.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-01-02
2016-01-03,132466.00,0,139542.00,29802.00,115802.00,0,73125.00,207606.00,168592.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162472.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-01-03
2016-01-04,916059.00,0,170581.00,0,0,73125.00,0,0,0,0,0,0,0,0,0,0,139999.00,0,0,0,0,148459.00,0,0,0,0,0,0,0,0,0,99744.00,0,0,0,0,0,0,0,0,0,0,0,0,0,1065.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-01-04
2016-01-05,511763.00,138391.00,135448.00,131526.00,0,0,0,0,0,138814.00,0,0,0,0,0,0,0,0,0,0,0,0,136130.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-01-05
2016-01-06,514272.00,419180.00,280368.00,141856.00,0,0,263309.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153164.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-01-06
2016-01-07,578339.00,124925.00,162615.00,0,162769.00,77784.00,73125.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132580.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-01-07
2016-01-08,411235.00,139498.00,290116.00,167054.00,130579.00,134560.00,0,0,124333.00,0,0,0,0,0,0,153903.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148051.00,0,0,0,0,0,0,0,0,0,0,0,0,7502.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-01-08
2016-01-09,391956.00,150849.00,406974.00,131317.00,276676.00,0,0,209571.00,200974.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132806.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15064.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-01-09
2016-01-10,427344.00,279010.00,270025.00,175240.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140276.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-01-10
2016-01-11,438550.00,141544.00,0,0,0,73125.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-01-11
2016-01-12,619418.00,0,383446.00,293685.00,125595.00,0,0,0,135393.00,0,0,0,0,0,0,0,0,0,0,0,128813.00,0,0,0,0,147071.00,121796.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-01-12
2016-01-13,858564.00,737726.00,548314.00,209683.00,0,275018.00,0,0,132799.00,144939.00,0,0,0,143821.00,0,0,0,0,0,0,0,78864.00,146728.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14381.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-01-13
2016-01-14,393044.00,0,404468.00,0,136253.00,73125.00,413461.00,0,166853.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132561.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1065.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-01-14
2016-01-15,437158.00,276038.00,0,0,138237.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128116.00,0,0,0,0,0,0,0,0,0,0,0,6476.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-01-15
