date,installation,storage_volume_kwh,net_gas_flow_kwhd,cargo_kwh,capacity_kwh,capacity_utilization,heel_kwh,country,continent,Australia,Belgium,Croatia,Finland,France,Germany,Greece,Italy,Lithuania,Netherlands,Poland,Portugal,Russian Federation,Spain,United Kingdom,United States
2017-01-01,,30889957845,-437974358,-681347652,90611377792,0.341,5653025386,,,,270950812.586,,,1847619201.386,,474340092.904,1446213852.572,1064038232.829,1380224306.614,1366096757.243,1907537627.806,,7863529495.867,8777937669.82,4491469795.633
2017-01-02,,30245030135,-747106821,111502615,90611377792,0.334,5653025386,,,,248583886.699,,,1741056146.731,,397522813.663,1351095129.278,1043019691.751,1375582881.521,1323456628.614,1839969319.736,,8232573609.288,8643505737.198,4048664290.149
2017-01-03,,31046065572,-828694265,1972070376,90611377792,0.343,5653025386,,,,1042775762.841,,,2591575273.674,,318848964.385,1273085308.699,921902212.133,1369837000.529,1243258223.649,1696579775.474,,7646656367.468,8428678901.322,4512867781.683
2017-01-04,,29341930776,-940555998,-651710289,90611377792,0.324,5653025386,,,,1066497849.338,,,2440833983.097,,234761248.466,1074215489.019,897509321.133,1364016585.705,1212326682.7,1532761185.0,,7096406952.932,8436945381.049,3985656097.536
2017-01-05,,29234263265,-696823586,212292686,90611377792,0.323,5653025386,,,,1033411603.018,,,2299951485.966,,148681446.448,1010035082.476,877412289.27,1357816725.909,1171997102.913,2174158702.239,,7494058506.854,8324446722.918,3342293597.411
2017-01-06,,28834118216,-633280105,1388456907,90611377792,0.318,5653025386,,,,1009587879.475,,,2193361328.099,,295377582.601,1007250227.421,846141958.169,1352131827.145,1112431018.252,2039157602.16,,7429085331.354,8149820726.57,3399772734.731
2017-01-07,,30423640303,-617045281,1404779817,90611377792,0.336,5653025386,,,,986096170.281,,,2100478619.813,,432492733.233,1007060504.935,803698327.829,1347016095.838,1042491179.113,1888890617.797,,7857377066.692,9712239601.545,3245799386.097
2017-01-08,,30435193047,-574283188,769067198,90611377792,0.336,5653025386,,,,962292774.147,,,2014453024.22,,329161736.636,1510143554.401,763443281.876,1342462756.185,972869802.717,1793500862.381,,7447481636.65,9591609979.747,3707773638.424
2017-01-09,,30111031853,-889662941,449235743,90611377792,0.332,5653025386,,,,939925848.261,,,1935298092.925,,180412532.157,1359361609.006,720931893.505,1337069216.953,923026995.44,1692812428.976,,7344862099.373,9501329179.834,4176001956.973
2017-01-10,,29401009003,-837916133,66172493,90611377792,0.324,5653025386,,,,817581948.289,,,2301902917.246,,92421953.678,1127581713.884,678291764.876,1331662126.114,876877000.829,1518938546.767,,6825456140.347,9187772117.636,4642522773.151
2017-01-11,,29060518123,-833898082,-599231695,90611377792,0.321,5653025386,,,,792599562.424,,,2215890873.258,,694289435.891,1824832175.71,643579325.823,1325624885.592,830408543.474,1361672157.847,,6312656589.299,9068409571.009,3990555003.145
2017-01-12,,28024057409,-832827505,944262362,90611377792,0.309,5653025386,,,,768179568.211,,,2127866415.764,,549971606.61,1615276914.611,623150279.61,1319553766.054,783730036.224,1209948375.828,,5843581295.369,8953369986.732,4229429164.066
2017-01-13,,26780135157,-528316140,-345328803,90611377792,0.296,5653025386,,,,744816599.276,,,2019277395.995,,440562714.672,1550940664.598,613040781.451,1314051813.973,736861806.489,1019548309.966,,5401900573.193,8504744066.423,4434390430.693
2017-01-14,,26059135505,-372764029,-158919685,90611377792,0.288,5653025386,,,,720064590.714,,,1910695152.03,,359571540.749,1510746600.873,612112496.433,1308461776.452,691382616.38,869477823.892,,5051598331.024,8374838370.242,4650186206.406
2017-01-15,,28773589967,-402503029,2330029276,90611377792,0.318,5653025386,,,,734198915.888,,,3207976853.441,,278648124.857,1444038819.791,611048695.353,1303495112.813,646750401.653,757290852.701,,6534564139.369,8189587914.703,5065990136.714
2017-01-16,,28306167969,-708627035,-120805793,90611377792,0.312,5653025386,,,,1108589137.919,,,3092530720.98,,160579756.614,1333240888.226,609998445.879,1298806257.098,599678897.826,672803364.401,,6061098125.059,8066701950.488,5302140424.806
2017-01-17,,26743139272,-685934871,167931503,90611377792,0.295,5653025386,,,,1068469608.028,,,1984700473.003,,519290770.375,1266668623.206,609009178.633,1292972290.667,556781288.681,1013267140.534,,6363495439.625,7988177168.877,4080307290.419
2017-01-18,,26305307206,-789814707,-302187265,90611377792,0.29,5653025386,,,,1043853115.527,,,1841839441.379,,428528888.446,1201478622.008,591622467.993,1286589484.189,516390726.667,1206770524.194,,5663202642.227,7885483097.767,4639548195.609
2017-01-19,,25237061199,-874756174,-208694734,90611377792,0.279,5653025386,,,,1020070046.802,,,1616672730.04,,377879760.605,1100200693.737,566362274.202,1280227005.12,473350825.658,1027083002.964,,5185040996.4,7377697640.981,5212476222.972
2017-01-20,,25625850003,-962604461,1582698854,90611377792,0.283,5653025386,,,,995954963.727,,,1466927482.513,,323280339.584,1409333156.54,540580343.575,1274508227.341,429450397.661,870799105.488,,5979300630.572,6915072911.559,5420642444.444
2017-01-21,,25707735583,-713309115,1954473616,90611377792,0.284,5653025386,,,,971392677.651,,,1266377263.674,,260543179.092,1659631321.413,514798412.949,1270036197.324,1563042248.856,681916819.511,,5493550085.322,6605804932.695,5420642444.444
2017-01-22,,27717228719,-514242797,2470620413,90611377792,0.306,5653025386,,,,905098220.555,,,2200509800.322,,209833069.024,2290045261.898,492587330.533,1265564167.308,1753239040.625,1567012869.446,,5093655740.589,6519040774.568,5420642444.444
2017-01-23,,27212031619,-871469910,488535400,90611377792,0.3,5653025386,,,,877459719.891,,,2341764966.621,,140150710.401,2017014277.775,467462652.803,1261092137.291,1710930926.346,1440467971.581,,5102606576.426,6432439235.715,5420642444.444
2017-01-24,,26009624712,-869084827,1339196819,90611377792,0.287,5653025386,,,,853852822.046,,,2231346480.028,,764358015.288,1781074039.577,442141476.784,1255522427.179,1668677018.492,1270496951.932,,4821627575.318,6345336287.436,4575191618.188
2017-01-25,,26070512079,-1080117213,493000655,90611377792,0.288,5653025386,,,,828592628.255,,,3021493201.746,,742079174.841,1894724584.228,425418794.843,1250440574.888,1627561445.551,1098947170.171,,4825144217.104,6223053369.693,4133056917.206
2017-01-26,,25618505032,-1077366237,1082908844,90611377792,0.283,5653025386,,,,803149487.781,,,2835517735.28,,656270404.946,2245948335.613,408892611.191,1244227163.486,1583728775.584,910139418.028,,4949907078.766,6114830243.289,3865893778.529
2017-01-27,,25776259279,-863725167,1402022065,90611377792,0.284,5653025386,,,,781012939.199,,,4124106081.37,,561741176.518,2007819513.028,392298669.508,1238095061.72,1542613202.643,741618420.234,,4932242560.2,5990677203.902,3464034450.91
2017-01-28,,27222296961,-454202406,896696225,90611377792,0.3,5653025386,,,,757697400.884,,,3956906365.171,,498597467.843,1847239756.415,376097724.402,1233121622.278,1503137374.041,630291976.031,,7505306339.926,5878917108.304,3034983825.629
2017-01-29,,26035338885,-399054145,440637249,90611377792,0.287,5653025386,,,,735330474.998,,,3263545214.299,,446437335.921,1826620987.717,375169439.383,1228649592.261,1464467866.003,575618021.176,,7096515365.781,5770023177.398,3252961409.926
