date,trend,tweet_count
12-09-2025,#يوم_الجمعه,16755.0
12-09-2025,Asiknya NKRI Kompak,
12-09-2025,#12Eylül,11384.0
12-09-2025,Hayırlı Cumalar,19092.0
12-09-2025,コライドン,
12-09-2025,ネフェル,23107.0
12-09-2025,#breach,
12-09-2025,#9EntLivexLingorm,83100.0
12-09-2025,#JuniorMarkFansign,
12-09-2025,clancy,35104.0
12-09-2025,KAT-TUN,
12-09-2025,色ミラコラ,
12-09-2025,スカーレット,26461.0
12-09-2025,バイオレット,23973.0
12-09-2025,chaeyoung,134346.0
12-09-2025,細木数子,
12-09-2025,CHAWARIN AT ELLE PARTY,133925.0
12-09-2025,イベント開催予定,12187.0
12-09-2025,物販入場予約抽選,
12-09-2025,措置命令,
12-09-2025,LIL FANTASY SHOOT OUT NOW,15506.0
12-09-2025,THE WEIGHT OF HIS GLORY,
12-09-2025,ちびぐるみ,
12-09-2025,MINAMAHAL ADelante SA USJR,24370.0
12-09-2025,エスプリ,
12-09-2025,次期総理候補1位,
12-09-2025,STREAM DUSTBIA KINAKABAHAN MV,21996.0
12-09-2025,twenty one pilots,25682.0
12-09-2025,ジャパネット,
12-09-2025,Namjin,
12-09-2025,Packers,114824.0
12-09-2025,政治家の資格,
12-09-2025,Botafogo,51584.0
12-09-2025,ドンタコス,
12-09-2025,最大1万円分,61369.0
12-09-2025,参加回数,17898.0
12-09-2025,危機感あらわ,
12-09-2025,因縁の立憲議員,
12-09-2025,戸田恵梨香,
12-09-2025,当選確率,204356.0
12-09-2025,アクスタランダム,
12-09-2025,Mon3tr,
12-09-2025,柳川抹消,
12-09-2025,कर्नल किरोड़ी सिंह,
12-09-2025,カンナくん,
12-09-2025,Heemskerk,
12-09-2025,HARRY FORD,
12-09-2025,ディープストライカー,
12-09-2025,あと半日,
12-09-2025,Beverwijk,
12-09-2025,#breach,
12-09-2025,clancy,30834.0
12-09-2025,ネフェル,18601.0
12-09-2025,コライドン,
12-09-2025,Botafogo,51206.0
12-09-2025,Packers,112764.0
12-09-2025,#CHAEYOUNG_SOLO_Debut,16955.0
12-09-2025,#채영이만의_감성노트_오픈,16810.0
12-09-2025,#Number_ixタワレコ,
12-09-2025,#يوم_الجمعه,13532.0
12-09-2025,LIL FANTASY SHOOT OUT NOW,14744.0
12-09-2025,KAT-TUN,
12-09-2025,CHAWARIN AT ELLE PARTY,103299.0
12-09-2025,Hayırlı Cumalar,12224.0
12-09-2025,twenty one pilots,22769.0
12-09-2025,色ミラコラ,
12-09-2025,細木数子,
12-09-2025,物販入場予約抽選,
12-09-2025,イベント開催予定,12145.0
12-09-2025,あと半日,
12-09-2025,TIPNAREE GIVENCHY,23659.0
12-09-2025,バイオレット,16912.0
12-09-2025,Harry Ford,
12-09-2025,スカーレット,19660.0
12-09-2025,最大1万円分,60111.0
12-09-2025,参加回数,16089.0
12-09-2025,ドンタコス,
12-09-2025,MINAMAHAL ADelante SA USJR,20986.0
12-09-2025,tyler joseph,
12-09-2025,当選確率,197872.0
12-09-2025,エスプリ,
12-09-2025,STREAM DUSTBIA KINAKABAHAN MV,18979.0
12-09-2025,ブルーインパルス,
12-09-2025,THE AIR Q13 SHOOTING,155292.0
12-09-2025,戸田恵梨香,
12-09-2025,バトルの季節,
12-09-2025,ディープストライカー,
12-09-2025,Achilles,
12-09-2025,夜勤事件,33516.0
12-09-2025,City Walls,18868.0
12-09-2025,Tucker Kraft,
12-09-2025,カラモバ,
12-09-2025,Diniz,
12-09-2025,कर्नल किरोड़ी सिंह,
12-09-2025,Ekeler,
12-09-2025,ニンダイ,31256.0
12-09-2025,カンナくん,
12-09-2025,Mon3tr,
12-09-2025,電話ボイス,
12-09-2025,중대발표,
12-09-2025,Botafogo,50236.0
12-09-2025,Packers,107541.0
12-09-2025,clancy,24445.0
12-09-2025,#CHAEYOUNG_SOLO_Debut,14416.0
12-09-2025,#채영이만의_감성노트_오픈,14260.0
12-09-2025,LIL FANTASY SHOOT OUT NOW,12503.0
12-09-2025,#スターレイル予告番組,13478.0
12-09-2025,#Number_ixタワレコ,
12-09-2025,ネフェル,13404.0
12-09-2025,#ファミマル,44740.0
12-09-2025,あと半日,
12-09-2025,CHAWARIN AT ELLE PARTY,54126.0
12-09-2025,twenty one pilots,18672.0
12-09-2025,Tucker Kraft,
12-09-2025,最大1万円分,58482.0
12-09-2025,参加回数,13980.0
12-09-2025,Achilles,
12-09-2025,バトルの季節,
12-09-2025,KAT-TUN,
12-09-2025,tyler joseph,
